(theta,phi,r)
(0.0,57.671875,2.235)
(0.0,57.796875,2.044)
(0.0,57.921875,2.007)
(0.0,58.046875,1.749)
(0.0,58.421875,2.104)
(0.0,65.046875,2.279)
(0.0,65.171875,2.1465)
(0.0,65.296875,2.034)
(0.0,65.421875,1.8820000000000001)
(0.0,65.546875,1.781)
(0.0,65.921875,2.0878)
(0.0,128.921875,2.111714285714286)
(0.0,129.046875,2.103)
(0.0,129.671875,2.155)
(0.0,134.984375,2.12425)
(0.0,135.109375,2.1)
(0.0,204.5,7.9510000000000005)
(0.0,204.625,8.045)
(0.0,205.25,2.6795)
(0.0,205.375,2.4492857142857143)
(0.0,205.5,2.392)
(0.0,275.453125,3.905)
(0.0,275.578125,3.5469999999999997)
(0.0,275.703125,3.1124666666666667)
(0.0,346.453125,3.464454545454545)
(0.0,346.578125,3.1375555555555557)
(0.0,346.703125,2.939)
(0.0,347.703125,3.321)
(0.0,355.40625,3.423615384615385)
(0.0,355.53125,3.1731111111111105)
(0.0,355.65625,2.961)
(1.0,10.59375,3.181)
(1.0,10.71875,3.026818181818182)
(1.0,10.84375,2.7006470588235296)
(1.0,10.96875,2.573)
(1.0,70.984375,2.359)
(1.0,71.109375,2.1925999999999997)
(1.0,71.234375,2.0365)
(1.0,71.359375,1.995)
(1.0,71.859375,1.9574000000000003)
(1.0,85.546875,2.6376153846153847)
(1.0,85.671875,2.453222222222222)
(1.0,85.796875,2.228)
(1.0,86.546875,2.177)
(1.0,145.984375,2.2736666666666667)
(1.0,146.109375,2.2294)
(1.0,146.234375,2.116)
(1.0,146.859375,2.159)
(1.0,148.109375,0.937)
(1.0,160.8125,2.38156)
(1.0,160.9375,2.263857142857143)
(1.0,220.25,7.898)
(1.0,220.375,8.0015)
(1.0,222.0,8.043)
(1.0,295.859375,2.9307777777777777)
(1.0,295.984375,2.7716086956521737)
(1.0,355.953125,3.4101428571428563)
(1.0,356.078125,3.138733333333333)
(1.0,356.203125,2.891)
(2.0,25.890625,2.6343333333333327)
(2.0,26.015625,2.490304347826087)
(2.0,73.421875,2.527)
(2.0,73.546875,2.4221999999999997)
(2.0,73.671875,2.2376666666666667)
(2.0,73.796875,2.034333333333333)
(2.0,73.921875,1.745)
(2.0,74.046875,1.711)
(2.0,74.421875,2.0665)
(2.0,104.03125,2.6082)
(2.0,104.15625,2.4088333333333334)
(2.0,104.28125,2.2533333333333334)
(2.0,104.40625,2.179)
(2.0,105.90625,0.952)
(2.0,106.03125,0.957)
(2.0,106.15625,0.953)
(2.0,151.65625,2.3336153846153844)
(2.0,151.78125,2.2642727272727274)
(2.0,152.53125,2.195)
(2.0,182.109375,3.4225)
(2.0,182.234375,3.2009999999999996)
(2.0,182.359375,2.6552)
(2.0,182.484375,2.4985000000000004)
(2.0,229.078125,8.0365)
(2.0,229.203125,8.075500000000002)
(2.0,230.828125,7.9262)
(2.0,307.9375,2.7183124999999997)
(2.0,355.453125,3.433181818181818)
(2.0,355.578125,3.1392105263157895)
(2.0,355.703125,2.891)
(3.0,28.96875,2.553)
(3.0,29.09375,2.427068965517242)
(3.0,29.21875,2.373)
(3.0,74.0,2.469)
(3.0,74.125,2.2962)
(3.0,74.25,1.97025)
(3.0,74.375,1.963)
(3.0,74.5,1.763)
(3.0,74.875,2.2263333333333333)
(3.0,107.890625,2.3482499999999997)
(3.0,108.015625,2.2355454545454547)
(3.0,108.140625,2.137)
(3.0,108.765625,2.3049999999999997)
(3.0,109.765625,0.958)
(3.0,110.765625,0.967)
(3.0,152.84375,2.4444545454545454)
(3.0,152.96875,2.277)
(3.0,153.71875,2.291)
(3.0,155.71875,0.959)
(3.0,186.375,3.3205000000000005)
(3.0,186.5,3.3)
(3.0,186.625,2.555)
(3.0,186.75,2.4544444444444444)
(3.0,186.875,2.357)
(3.0,230.90625,7.934)
(3.0,231.03125,7.3839999999999995)
(3.0,232.65625,7.726333333333334)
(3.0,310.453125,2.7158124999999997)
(3.0,355.203125,3.3810000000000002)
(3.0,355.328125,3.1418235294117642)
(3.0,355.453125,2.8038)
(4.0,29.40625,2.3711428571428574)
(4.0,29.53125,2.331)
(4.0,74.25,2.376142857142857)
(4.0,74.375,2.223666666666667)
(4.0,74.5,1.9380000000000002)
(4.0,74.625,1.9306666666666665)
(4.0,75.125,1.8615)
(4.0,108.109375,2.293)
(4.0,108.234375,2.3412)
(4.0,108.359375,2.1776666666666666)
(4.0,108.484375,2.111)
(4.0,109.109375,2.375666666666667)
(4.0,110.359375,0.971)
(4.0,111.109375,0.959)
(4.0,152.984375,2.5476666666666667)
(4.0,153.109375,2.3868333333333336)
(4.0,153.234375,2.2621428571428575)
(4.0,153.984375,2.355)
(4.0,155.984375,0.951)
(4.0,186.734375,3.305)
(4.0,186.859375,3.1165)
(4.0,186.984375,2.6390000000000002)
(4.0,187.109375,2.4440526315789475)
(4.0,187.234375,2.3463333333333334)
(4.0,231.203125,7.73)
(4.0,231.328125,7.2372)
(4.0,232.953125,7.6256666666666675)
(4.0,310.765625,2.7158124999999997)
(4.0,355.421875,3.3949999999999996)
(4.0,355.546875,3.1500000000000004)
(4.0,355.671875,2.7969999999999997)
(5.0,29.984375,2.324882352941177)
(5.0,30.109375,2.325909090909091)
(5.0,30.859375,2.3760000000000003)
(5.0,74.484375,2.3754)
(5.0,74.609375,2.2442)
(5.0,74.734375,1.917)
(5.0,74.859375,1.8765555555555555)
(5.0,74.984375,1.807)
(5.0,75.359375,1.7956666666666665)
(5.0,108.84375,2.3385)
(5.0,108.96875,2.226)
(5.0,109.09375,2.1163333333333334)
(5.0,109.71875,2.292)
(5.0,110.96875,0.953)
